"","Var1","Var2","form"
"4020","muRiR","Subjonctif.Imparfait.ils.elles","X-u.[06u]-ys"
"4021","n3tR.1","Subjonctif.Imparfait.ils.elles","X-a.[3ae]-kis"
"4022","p3tR","Subjonctif.Imparfait.ils.elles","X-y.[3y]-s"
"4023","pRevalwaR","Subjonctif.Imparfait.ils.elles","X-a.[ao]-lys"
"4024","pRevwaR","Subjonctif.Imparfait.ils.elles","X-i.[iwy]-s"
"4025","RavwaR","Subjonctif.Imparfait.ils.elles","X-ys"
"4026","REvivR","Subjonctif.Imparfait.ils.elles","X-e.[ei]-kys"
"4027","RezudR","Subjonctif.Imparfait.ils.elles","X-0.[0u]-lys"
"4028","savwaR","Subjonctif.Imparfait.ils.elles","X-ys"
"4029","sEvRe","Subjonctif.Imparfait.ils.elles","X-E.[3E]-as"
"4030","t3R","Subjonctif.Imparfait.ils.elles","X-y.[3y]-s"
"4031","vulwaR","Subjonctif.Imparfait.ils.elles","X-ulys"
"4032","puvwaR","Subjonctif.Imparfait.ils.elles","X-ys"
"4033","pl6vwaR","Subjonctif.Imparfait.ils.elles","X-y.[68y]-s"
"4034","deSwaR","Subjonctif.Imparfait.ils.elles","X-y.[wy]-s"
"4035","isiR","Subjonctif.Imparfait.ils.elles","X-is"
"4036","SwaR","Subjonctif.Imparfait.ils.elles","X-y.[wy]-s"
"4041","suRdR","Subjonctif.Imparfait.ils.elles","X-dis"
"4044","advniR","Subjonctif.Imparfait.ils.elles","X-3.[3jn]-~s"
"4045","3~k0~be","Subjonctif.Imparfait.ils.elles","X-as"
"4046","eSwaR","Subjonctif.Imparfait.ils.elles","X-y.[ewy]-s"
"4057","aute","Conditionnel.Present.je","X-ER3"
"4058","Ete","Conditionnel.Present.je","X-3.[3E]-ER3"
"4059","fwiR","Conditionnel.Present.je","X-R3"
"4060","abatR","Conditionnel.Present.je","X-tR3"
"4061","A~bYe","Conditionnel.Present.je","X-y.[yY]-R3"
"4062","Able","Conditionnel.Present.je","X-ER3"
"4063","ablye","Conditionnel.Present.je","X-R3"
"4064","A~bReje","Conditionnel.Present.je","X-e.[3e]-ER3"
"4065","abReZe","Conditionnel.Present.je","X-3.[3e]-ER3"
"4066","abwaje","Conditionnel.Present.je","X-R3"
"4067","A~bwaR","Conditionnel.Present.je","X-w.[wy]-aR3"
"4068","A~bwe","Conditionnel.Present.je","X-u.[uw]-R3"
"4069","A~d0RmiR","Conditionnel.Present.je","X-miR3"
"4070","A~dYiR","Conditionnel.Present.je","X-R3"
"4071","adZw3~dR","Conditionnel.Present.je","X-3.[3a]-~.[~N]-dR3"
"4072","A~fYiR","Conditionnel.Present.je","X-R3"
"4073","afilje","Conditionnel.Present.je","X-i.[ij]-R3"
"4074","A~fjevRe","Conditionnel.Present.je","X-3.[3e]-ER3"
"4075","A~fR3~dR","Conditionnel.Present.je","X-~.[~N]-dR3"
"4076","agRee","Conditionnel.Present.je","X-R3"
"4077","aiR","Conditionnel.Present.je","X-a.[3a]-iR3"
"4078","akeRiR","Conditionnel.Present.je","X-3RR3"
"4079","ak6jiR","Conditionnel.Present.je","X-R3"
"4080","akRwatR.1","Conditionnel.Present.je","X-w.[wy]-atR3"
"4081","akuRiR","Conditionnel.Present.je","X-R3"
"4082","ale.1","Conditionnel.Present.je","X-i.[aiv]-R3"
"4083","apaR3tR","Conditionnel.Present.je","X-3.[3y]-tR3"
"4084","apA~dR","Conditionnel.Present.je","X-dR3"
"4085","apaRtEniR","Conditionnel.Present.je","X-j.[3Ej]-3.[~3n]-~dR3"
"4086","ap3RsEvwaR","Conditionnel.Present.je","X-E.[Ewy]-vR3"
"4087","apRA~dR","Conditionnel.Present.je","X-A~dR3"
"4088","apR0pRije","Conditionnel.Present.je","X-R3"
"4089","asA~tiR","Conditionnel.Present.je","X-tiR3"
"4090","asizEle","Conditionnel.Present.je","X-3.[3El]-l.[3l]-ER3"
"4091","aswaR.1","Conditionnel.Present.je","X-jeR3"
"4092","atniR","Conditionnel.Present.je","X-j.[3jn]-3~dR3"
"4093","A~tREm3tR","Conditionnel.Present.je","X-3.[3i]-tR3"
"4094","A~tREvwaR","Conditionnel.Present.je","X-3R3"
"4095","A~tRuvRiR","Conditionnel.Present.je","X-R.[3R]-iR3"
"4096","A~vwaje","Conditionnel.Present.je","X-3.[3w]-R.[aR]-3"
"4097","apstR3R","Conditionnel.Present.je","X-R3"
"4098","apsudR","Conditionnel.Present.je","X-u.[0u]-dR3"
"4099","aSve","Conditionnel.Present.je","X-3.[3v]-vER3"
"4100","A~sYivR","Conditionnel.Present.je","X-vR3"
"4101","bujiR","Conditionnel.Present.je","X-jiR3"
"4102","dediR","Conditionnel.Present.je","X-R3"
"4103","defajiR","Conditionnel.Present.je","X-iR3"
"4104","def3R","Conditionnel.Present.je","X-ER3"
"4105","dekRiR","Conditionnel.Present.je","X-R3"
"4106","dekudR","Conditionnel.Present.je","X-dR3"
"4107","denwajote","Conditionnel.Present.je","X-0.[0o]-ER3"
"4108","depl3R","Conditionnel.Present.je","X-a.[3ay]-iR3"
"4109","depuRvwaR","Conditionnel.Present.je","X-w.[wy]-aR3"
"4110","des3RviR","Conditionnel.Present.je","X-viR3"
"4111","dev3tiR","Conditionnel.Present.je","X-tiR3"
"4112","diR","Conditionnel.Present.je","X-R3"
"4113","ekivalwar","Conditionnel.Present.je","X-o.[ao]-dR3"
"4114","3~klyR","Conditionnel.Present.je","X-R3"
"4115","eliR","Conditionnel.Present.je","X-i.[iy]-R3"
"4116","emuvwaR","Conditionnel.Present.je","X-uvR3"
"4117","emudR","Conditionnel.Present.je","X-dR3"
"4118","3~teR0~pR","Conditionnel.Present.je","X-pR3"
"4119","3tR","Conditionnel.Present.je","sER3"
"4120","fajiR","Conditionnel.Present.je","X-a.[ao]-jiR3"
"4121","fazeje","Conditionnel.Present.je","X-3.[3e]-ER3"
"4122","futR","Conditionnel.Present.je","X-tR3"
"4123","k0~v3~kR","Conditionnel.Present.je","X-R3"
"4124","muRiR","Conditionnel.Present.je","X-u.[06u]-R3"
"4125","n3tR.1","Conditionnel.Present.je","X-3.[3ae]-tR3"
"4126","p3tR","Conditionnel.Present.je","X-3.[3y]-tR3"
"4127","pRevalwaR","Conditionnel.Present.je","X-o.[ao]-dR3"
"4128","pRevwaR","Conditionnel.Present.je","X-w.[iwy]-aR3"
"4129","RavwaR","Conditionnel.Present.je","X-oR3"
"4130","REvivR","Conditionnel.Present.je","X-i.[ei]-vR3"
"4131","RezudR","Conditionnel.Present.je","X-u.[0u]-dR3"
"4132","savwaR","Conditionnel.Present.je","X-0R3"
"4133","sEvRe","Conditionnel.Present.je","X-3.[3E]-ER3"
"4134","t3R","Conditionnel.Present.je","X-3.[3y]-R3"
"4135","vulwaR","Conditionnel.Present.je","X-udR3"
"4136","puvwaR","Conditionnel.Present.je","X-uR3"
"4137","pl6vwaR","Conditionnel.Present.je","X-6.[68y]-vR3"
"4138","deSwaR","Conditionnel.Present.je","X-w.[wy]-aR3"
"4139","isiR","Conditionnel.Present.je","X-iR3"
"4140","SwaR","Conditionnel.Present.je","X-w.[wy]-aR3"
"4141","A~kl0R","Conditionnel.Present.je","X-0.[0o]-R3"
"4142","RA~tR3R","Conditionnel.Present.je","X-R3"
"4143","SoviR","Conditionnel.Present.je","X-iR3"
"4144","dekl0R","Conditionnel.Present.je","X-0.[0o]-R3"
"4146","ZeziR","Conditionnel.Present.je","X-e.[ei]-ziR3"
"4147","fRiR","Conditionnel.Present.je","X-R3"
"4161","aute","Conditionnel.Present.tu","X-ER3"
"4162","Ete","Conditionnel.Present.tu","X-3.[3E]-ER3"
"4163","fwiR","Conditionnel.Present.tu","X-R3"
"4164","abatR","Conditionnel.Present.tu","X-tR3"
"4165","A~bYe","Conditionnel.Present.tu","X-y.[yY]-R3"
"4166","Able","Conditionnel.Present.tu","X-ER3"
"4167","ablye","Conditionnel.Present.tu","X-R3"
"4168","A~bReje","Conditionnel.Present.tu","X-e.[3e]-ER3"
"4169","abReZe","Conditionnel.Present.tu","X-3.[3e]-ER3"
"4170","abwaje","Conditionnel.Present.tu","X-R3"
"4171","A~bwaR","Conditionnel.Present.tu","X-w.[wy]-aR3"
"4172","A~bwe","Conditionnel.Present.tu","X-u.[uw]-R3"
"4173","A~d0RmiR","Conditionnel.Present.tu","X-miR3"
"4174","A~dYiR","Conditionnel.Present.tu","X-R3"
"4175","adZw3~dR","Conditionnel.Present.tu","X-3.[3a]-~.[~N]-dR3"
"4176","A~fYiR","Conditionnel.Present.tu","X-R3"
"4177","afilje","Conditionnel.Present.tu","X-i.[ij]-R3"
"4178","A~fjevRe","Conditionnel.Present.tu","X-3.[3e]-ER3"
"4179","A~fR3~dR","Conditionnel.Present.tu","X-~.[~N]-dR3"
"4180","agRee","Conditionnel.Present.tu","X-R3"
"4181","aiR","Conditionnel.Present.tu","X-a.[3a]-iR3"
"4182","akeRiR","Conditionnel.Present.tu","X-3RR3"
"4183","ak6jiR","Conditionnel.Present.tu","X-R3"
"4184","akRwatR.1","Conditionnel.Present.tu","X-w.[wy]-atR3"
"4185","akuRiR","Conditionnel.Present.tu","X-R3"
"4186","ale.1","Conditionnel.Present.tu","X-i.[aiv]-R3"
"4187","apaR3tR","Conditionnel.Present.tu","X-3.[3y]-tR3"
"4188","apA~dR","Conditionnel.Present.tu","X-dR3"
"4189","apaRtEniR","Conditionnel.Present.tu","X-j.[3Ej]-3.[~3n]-~dR3"
"4190","ap3RsEvwaR","Conditionnel.Present.tu","X-E.[Ewy]-vR3"
"4191","apRA~dR","Conditionnel.Present.tu","X-A~dR3"
"4192","apR0pRije","Conditionnel.Present.tu","X-R3"
"4193","asA~tiR","Conditionnel.Present.tu","X-tiR3"
"4194","asizEle","Conditionnel.Present.tu","X-3.[3El]-l.[3l]-ER3"
"4195","aswaR.1","Conditionnel.Present.tu","X-jeR3"
"4196","atniR","Conditionnel.Present.tu","X-j.[3jn]-3~dR3"
"4197","A~tREm3tR","Conditionnel.Present.tu","X-3.[3i]-tR3"
"4198","A~tREvwaR","Conditionnel.Present.tu","X-3R3"
"4199","A~tRuvRiR","Conditionnel.Present.tu","X-R.[3R]-iR3"
"4200","A~vwaje","Conditionnel.Present.tu","X-3.[3w]-R.[aR]-3"
"4201","apstR3R","Conditionnel.Present.tu","X-R3"
"4202","apsudR","Conditionnel.Present.tu","X-u.[0u]-dR3"
"4203","aSve","Conditionnel.Present.tu","X-3.[3v]-vER3"
"4204","A~sYivR","Conditionnel.Present.tu","X-vR3"
"4205","bujiR","Conditionnel.Present.tu","X-jiR3"
"4206","dediR","Conditionnel.Present.tu","X-R3"
"4207","defajiR","Conditionnel.Present.tu","X-iR3"
"4208","def3R","Conditionnel.Present.tu","X-ER3"
"4209","dekRiR","Conditionnel.Present.tu","X-R3"
"4210","dekudR","Conditionnel.Present.tu","X-dR3"
"4211","denwajote","Conditionnel.Present.tu","X-0.[0o]-ER3"
"4212","depl3R","Conditionnel.Present.tu","X-a.[3ay]-iR3"
"4213","depuRvwaR","Conditionnel.Present.tu","X-w.[wy]-aR3"
"4214","des3RviR","Conditionnel.Present.tu","X-viR3"
"4215","dev3tiR","Conditionnel.Present.tu","X-tiR3"
"4216","diR","Conditionnel.Present.tu","X-R3"
"4217","ekivalwar","Conditionnel.Present.tu","X-o.[ao]-dR3"
"4218","3~klyR","Conditionnel.Present.tu","X-R3"
"4219","eliR","Conditionnel.Present.tu","X-i.[iy]-R3"
"4220","emuvwaR","Conditionnel.Present.tu","X-uvR3"
"4221","emudR","Conditionnel.Present.tu","X-dR3"
"4222","3~teR0~pR","Conditionnel.Present.tu","X-pR3"
"4223","3tR","Conditionnel.Present.tu","sER3"
"4224","fajiR","Conditionnel.Present.tu","X-a.[ao]-jiR3"
"4225","fazeje","Conditionnel.Present.tu","X-3.[3e]-ER3"
"4226","futR","Conditionnel.Present.tu","X-tR3"
"4227","k0~v3~kR","Conditionnel.Present.tu","X-R3"
"4228","muRiR","Conditionnel.Present.tu","X-u.[06u]-R3"
"4229","n3tR.1","Conditionnel.Present.tu","X-3.[3ae]-tR3"
"4230","p3tR","Conditionnel.Present.tu","X-3.[3y]-tR3"
"4231","pRevalwaR","Conditionnel.Present.tu","X-o.[ao]-dR3"
"4232","pRevwaR","Conditionnel.Present.tu","X-w.[iwy]-aR3"
"4233","RavwaR","Conditionnel.Present.tu","X-oR3"
"4234","REvivR","Conditionnel.Present.tu","X-i.[ei]-vR3"
"4235","RezudR","Conditionnel.Present.tu","X-u.[0u]-dR3"
"4236","savwaR","Conditionnel.Present.tu","X-0R3"
"4237","sEvRe","Conditionnel.Present.tu","X-3.[3E]-ER3"
"4238","t3R","Conditionnel.Present.tu","X-3.[3y]-R3"
"4239","vulwaR","Conditionnel.Present.tu","X-udR3"
"4240","puvwaR","Conditionnel.Present.tu","X-uR3"
"4241","pl6vwaR","Conditionnel.Present.tu","X-6.[68y]-vR3"
"4242","deSwaR","Conditionnel.Present.tu","X-w.[wy]-aR3"
"4243","isiR","Conditionnel.Present.tu","X-iR3"
"4244","SwaR","Conditionnel.Present.tu","X-w.[wy]-aR3"
"4245","A~kl0R","Conditionnel.Present.tu","X-0.[0o]-R3"
"4246","RA~tR3R","Conditionnel.Present.tu","X-R3"
"4247","SoviR","Conditionnel.Present.tu","X-iR3"
"4248","dekl0R","Conditionnel.Present.tu","X-0.[0o]-R3"
"4250","ZeziR","Conditionnel.Present.tu","X-e.[ei]-ziR3"
"4251","fRiR","Conditionnel.Present.tu","X-R3"
"4265","aute","Conditionnel.Present.il.elle.on","X-ER3"
"4266","Ete","Conditionnel.Present.il.elle.on","X-3.[3E]-ER3"
"4267","fwiR","Conditionnel.Present.il.elle.on","X-R3"
"4268","abatR","Conditionnel.Present.il.elle.on","X-tR3"
"4269","A~bYe","Conditionnel.Present.il.elle.on","X-y.[yY]-R3"
"4270","Able","Conditionnel.Present.il.elle.on","X-ER3"
"4271","ablye","Conditionnel.Present.il.elle.on","X-R3"
"4272","A~bReje","Conditionnel.Present.il.elle.on","X-e.[3e]-ER3"
"4273","abReZe","Conditionnel.Present.il.elle.on","X-3.[3e]-ER3"
"4274","abwaje","Conditionnel.Present.il.elle.on","X-R3"
"4275","A~bwaR","Conditionnel.Present.il.elle.on","X-w.[wy]-aR3"
"4276","A~bwe","Conditionnel.Present.il.elle.on","X-u.[uw]-R3"
"4277","A~d0RmiR","Conditionnel.Present.il.elle.on","X-miR3"
"4278","A~dYiR","Conditionnel.Present.il.elle.on","X-R3"
"4279","adZw3~dR","Conditionnel.Present.il.elle.on","X-3.[3a]-~.[~N]-dR3"
"4280","A~fYiR","Conditionnel.Present.il.elle.on","X-R3"
"4281","afilje","Conditionnel.Present.il.elle.on","X-i.[ij]-R3"
"4282","A~fjevRe","Conditionnel.Present.il.elle.on","X-3.[3e]-ER3"
"4283","A~fR3~dR","Conditionnel.Present.il.elle.on","X-~.[~N]-dR3"
"4284","agRee","Conditionnel.Present.il.elle.on","X-R3"
"4285","aiR","Conditionnel.Present.il.elle.on","X-a.[3a]-iR3"
"4286","akeRiR","Conditionnel.Present.il.elle.on","X-3RR3"
"4287","ak6jiR","Conditionnel.Present.il.elle.on","X-R3"
"4288","akRwatR.1","Conditionnel.Present.il.elle.on","X-w.[wy]-atR3"
"4289","akuRiR","Conditionnel.Present.il.elle.on","X-R3"
"4290","ale.1","Conditionnel.Present.il.elle.on","X-i.[aiv]-R3"
"4291","apaR3tR","Conditionnel.Present.il.elle.on","X-3.[3y]-tR3"
"4292","apA~dR","Conditionnel.Present.il.elle.on","X-dR3"
"4293","apaRtEniR","Conditionnel.Present.il.elle.on","X-j.[3Ej]-3.[~3n]-~dR3"
"4294","ap3RsEvwaR","Conditionnel.Present.il.elle.on","X-E.[Ewy]-vR3"
"4295","apRA~dR","Conditionnel.Present.il.elle.on","X-A~dR3"
"4296","apR0pRije","Conditionnel.Present.il.elle.on","X-R3"
"4297","asA~tiR","Conditionnel.Present.il.elle.on","X-tiR3"
"4298","asizEle","Conditionnel.Present.il.elle.on","X-3.[3El]-l.[3l]-ER3"
"4299","aswaR.1","Conditionnel.Present.il.elle.on","X-jeR3"
"4300","atniR","Conditionnel.Present.il.elle.on","X-j.[3jn]-3~dR3"
"4301","A~tREm3tR","Conditionnel.Present.il.elle.on","X-3.[3i]-tR3"
"4302","A~tREvwaR","Conditionnel.Present.il.elle.on","X-3R3"
"4303","A~tRuvRiR","Conditionnel.Present.il.elle.on","X-R.[3R]-iR3"
"4304","A~vwaje","Conditionnel.Present.il.elle.on","X-3.[3w]-R.[aR]-3"
"4305","apstR3R","Conditionnel.Present.il.elle.on","X-R3"
"4306","apsudR","Conditionnel.Present.il.elle.on","X-u.[0u]-dR3"
"4307","aSve","Conditionnel.Present.il.elle.on","X-3.[3v]-vER3"
"4308","A~sYivR","Conditionnel.Present.il.elle.on","X-vR3"
"4309","bujiR","Conditionnel.Present.il.elle.on","X-jiR3"
"4310","dediR","Conditionnel.Present.il.elle.on","X-R3"
"4311","defajiR","Conditionnel.Present.il.elle.on","X-iR3"
"4312","def3R","Conditionnel.Present.il.elle.on","X-ER3"
"4313","dekRiR","Conditionnel.Present.il.elle.on","X-R3"
"4314","dekudR","Conditionnel.Present.il.elle.on","X-dR3"
"4315","denwajote","Conditionnel.Present.il.elle.on","X-0.[0o]-ER3"
"4316","depl3R","Conditionnel.Present.il.elle.on","X-a.[3ay]-iR3"
"4317","depuRvwaR","Conditionnel.Present.il.elle.on","X-w.[wy]-aR3"
"4318","des3RviR","Conditionnel.Present.il.elle.on","X-viR3"
"4319","dev3tiR","Conditionnel.Present.il.elle.on","X-tiR3"
"4320","diR","Conditionnel.Present.il.elle.on","X-R3"
"4321","ekivalwar","Conditionnel.Present.il.elle.on","X-o.[ao]-dR3"
"4322","3~klyR","Conditionnel.Present.il.elle.on","X-R3"
"4323","eliR","Conditionnel.Present.il.elle.on","X-i.[iy]-R3"
"4324","emuvwaR","Conditionnel.Present.il.elle.on","X-uvR3"
"4325","emudR","Conditionnel.Present.il.elle.on","X-dR3"
"4326","3~teR0~pR","Conditionnel.Present.il.elle.on","X-pR3"
"4327","3tR","Conditionnel.Present.il.elle.on","sER3"
"4328","fajiR","Conditionnel.Present.il.elle.on","X-a.[ao]-jiR3"
"4329","fazeje","Conditionnel.Present.il.elle.on","X-3.[3e]-ER3"
"4330","futR","Conditionnel.Present.il.elle.on","X-tR3"
"4331","k0~v3~kR","Conditionnel.Present.il.elle.on","X-R3"
"4332","muRiR","Conditionnel.Present.il.elle.on","X-u.[06u]-R3"
"4333","n3tR.1","Conditionnel.Present.il.elle.on","X-3.[3ae]-tR3"
"4334","p3tR","Conditionnel.Present.il.elle.on","X-3.[3y]-tR3"
"4335","pRevalwaR","Conditionnel.Present.il.elle.on","X-o.[ao]-dR3"
"4336","pRevwaR","Conditionnel.Present.il.elle.on","X-w.[iwy]-aR3"
"4337","RavwaR","Conditionnel.Present.il.elle.on","X-oR3"
"4338","REvivR","Conditionnel.Present.il.elle.on","X-i.[ei]-vR3"
"4339","RezudR","Conditionnel.Present.il.elle.on","X-u.[0u]-dR3"
"4340","savwaR","Conditionnel.Present.il.elle.on","X-0R3"
"4341","sEvRe","Conditionnel.Present.il.elle.on","X-3.[3E]-ER3"
"4342","t3R","Conditionnel.Present.il.elle.on","X-3.[3y]-R3"
"4343","vulwaR","Conditionnel.Present.il.elle.on","X-udR3"
"4344","puvwaR","Conditionnel.Present.il.elle.on","X-uR3"
"4345","pl6vwaR","Conditionnel.Present.il.elle.on","X-6.[68y]-vR3"
"4346","deSwaR","Conditionnel.Present.il.elle.on","X-w.[wy]-aR3"
"4347","isiR","Conditionnel.Present.il.elle.on","X-iR3"
"4348","SwaR","Conditionnel.Present.il.elle.on","X-w.[wy]-aR3"
"4349","A~kl0R","Conditionnel.Present.il.elle.on","X-0.[0o]-R3"
"4350","RA~tR3R","Conditionnel.Present.il.elle.on","X-R3"
"4351","SoviR","Conditionnel.Present.il.elle.on","X-iR3"
"4352","dekl0R","Conditionnel.Present.il.elle.on","X-0.[0o]-R3"
"4353","suRdR","Conditionnel.Present.il.elle.on","X-dR3"
"4354","ZeziR","Conditionnel.Present.il.elle.on","X-e.[ei]-ziR3"
"4355","fRiR","Conditionnel.Present.il.elle.on","X-R3"
"4356","advniR","Conditionnel.Present.il.elle.on","X-j.[3jn]-3~dR3"
"4357","3~k0~be","Conditionnel.Present.il.elle.on","X-ER3"
"4358","eSwaR","Conditionnel.Present.il.elle.on","X-w.[ewy]-aR3"
"4360","swaR","Conditionnel.Present.il.elle.on","X-j.[3jw]-e.[aej]-R3"
"4361","bRYine","Conditionnel.Present.il.elle.on","X-ER3"
"4362","falwaR","Conditionnel.Present.il.elle.on","X-o.[ao]-dR3"
"4363","REsuvniR","Conditionnel.Present.il.elle.on","X-j.[3jn]-3~dR3"
"4365","meswaR","Conditionnel.Present.il.elle.on","X-j.[3jw]-e.[aej]-R3"
"4369","aute","Conditionnel.Present.nous","X-ERj0~"
"4370","Ete","Conditionnel.Present.nous","X-3.[3E]-ERj0~"
"4371","fwiR","Conditionnel.Present.nous","X-Rj0~"
"4372","abatR","Conditionnel.Present.nous","X-tRij0~"
"4373","A~bYe","Conditionnel.Present.nous","X-y.[yY]-Rj0~"
"4374","Able","Conditionnel.Present.nous","X-ERj0~"
"4375","ablye","Conditionnel.Present.nous","X-Rj0~"
"4376","A~bReje","Conditionnel.Present.nous","X-e.[3e]-ERj0~"
"4377","abReZe","Conditionnel.Present.nous","X-3.[3e]-ERj0~"
"4378","abwaje","Conditionnel.Present.nous","X-Rj0~"
"4379","A~bwaR","Conditionnel.Present.nous","X-w.[wy]-aRj0~"
"4380","A~bwe","Conditionnel.Present.nous","X-u.[uw]-Rj0~"
"4381","A~d0RmiR","Conditionnel.Present.nous","X-miRj0~"
"4382","A~dYiR","Conditionnel.Present.nous","X-Rj0~"
"4383","adZw3~dR","Conditionnel.Present.nous","X-3.[3a]-~.[~N]-dRij0~"
"4384","A~fYiR","Conditionnel.Present.nous","X-Rj0~"
"4385","afilje","Conditionnel.Present.nous","X-i.[ij]-Rj0~"
"4386","A~fjevRe","Conditionnel.Present.nous","X-3.[3e]-ERj0~"
"4387","A~fR3~dR","Conditionnel.Present.nous","X-~.[~N]-dRij0~"
"4388","agRee","Conditionnel.Present.nous","X-Rj0~"
"4389","aiR","Conditionnel.Present.nous","X-a.[3a]-iRj0~"
"4390","akeRiR","Conditionnel.Present.nous","X-3RRj0~"
"4391","ak6jiR","Conditionnel.Present.nous","X-Rj0~"
"4392","akRwatR.1","Conditionnel.Present.nous","X-w.[wy]-atRij0~"
"4393","akuRiR","Conditionnel.Present.nous","X-Rj0~"
"4394","ale.1","Conditionnel.Present.nous","X-i.[aiv]-Rj0~"
"4395","apaR3tR","Conditionnel.Present.nous","X-3.[3y]-tRij0~"
"4396","apA~dR","Conditionnel.Present.nous","X-dRij0~"
"4397","apaRtEniR","Conditionnel.Present.nous","X-j.[3Ej]-3.[~3n]-~dRij0~"
"4398","ap3RsEvwaR","Conditionnel.Present.nous","X-E.[Ewy]-vRij0~"
"4399","apRA~dR","Conditionnel.Present.nous","X-A~dRij0~"
"4400","apR0pRije","Conditionnel.Present.nous","X-Rj0~"
"4401","asA~tiR","Conditionnel.Present.nous","X-tiRj0~"
"4402","asizEle","Conditionnel.Present.nous","X-3.[3El]-l.[3l]-ERj0~"
"4403","aswaR.1","Conditionnel.Present.nous","X-jeRj0~"
"4404","atniR","Conditionnel.Present.nous","X-j.[3jn]-3~dRij0~"
"4405","A~tREm3tR","Conditionnel.Present.nous","X-3.[3i]-tRij0~"
"4406","A~tREvwaR","Conditionnel.Present.nous","X-3Rj0~"
"4407","A~tRuvRiR","Conditionnel.Present.nous","X-R.[3R]-iRj0~"
"4408","A~vwaje","Conditionnel.Present.nous","X-3.[3w]-R.[aR]-j0~"
"4409","apstR3R","Conditionnel.Present.nous","X-Rj0~"
"4410","apsudR","Conditionnel.Present.nous","X-u.[0u]-dRij0~"
"4411","aSve","Conditionnel.Present.nous","X-3.[3v]-vERj0~"
"4412","A~sYivR","Conditionnel.Present.nous","X-vRij0~"
"4413","bujiR","Conditionnel.Present.nous","X-jiRj0~"
"4414","dediR","Conditionnel.Present.nous","X-Rj0~"
"4415","defajiR","Conditionnel.Present.nous","X-iRj0~"
"4416","def3R","Conditionnel.Present.nous","X-ERj0~"
"4417","dekRiR","Conditionnel.Present.nous","X-Rj0~"
"4418","dekudR","Conditionnel.Present.nous","X-dRij0~"
"4419","denwajote","Conditionnel.Present.nous","X-0.[0o]-ERj0~"
"4420","depl3R","Conditionnel.Present.nous","X-a.[3ay]-iRj0~"
"4421","depuRvwaR","Conditionnel.Present.nous","X-w.[wy]-aRj0~"
"4422","des3RviR","Conditionnel.Present.nous","X-viRj0~"
"4423","dev3tiR","Conditionnel.Present.nous","X-tiRj0~"
"4424","diR","Conditionnel.Present.nous","X-Rj0~"
"4425","ekivalwar","Conditionnel.Present.nous","X-o.[ao]-dRij0~"
"4426","3~klyR","Conditionnel.Present.nous","X-Rj0~"
"4427","eliR","Conditionnel.Present.nous","X-i.[iy]-Rj0~"
"4428","emuvwaR","Conditionnel.Present.nous","X-uvRij0~"
"4429","emudR","Conditionnel.Present.nous","X-dRij0~"
"4430","3~teR0~pR","Conditionnel.Present.nous","X-pRij0~"
"4431","3tR","Conditionnel.Present.nous","sERj0~"
"4432","fajiR","Conditionnel.Present.nous","X-a.[ao]-jiRj0~"
"4433","fazeje","Conditionnel.Present.nous","X-3.[3e]-ERj0~"
"4434","futR","Conditionnel.Present.nous","X-tRij0~"
"4435","k0~v3~kR","Conditionnel.Present.nous","X-Rij0~"
"4436","muRiR","Conditionnel.Present.nous","X-u.[06u]-Rj0~"
"4437","n3tR.1","Conditionnel.Present.nous","X-3.[3ae]-tRij0~"
"4438","p3tR","Conditionnel.Present.nous","X-3.[3y]-tRj0~"
"4439","pRevalwaR","Conditionnel.Present.nous","X-o.[ao]-dRj0~"
"4440","pRevwaR","Conditionnel.Present.nous","X-w.[iwy]-aRj0~"
"4441","RavwaR","Conditionnel.Present.nous","X-oRj0~"
"4442","REvivR","Conditionnel.Present.nous","X-i.[ei]-vRij0~"
"4443","RezudR","Conditionnel.Present.nous","X-u.[0u]-dRij0~"
"4444","savwaR","Conditionnel.Present.nous","X-0Rj0~"
"4445","sEvRe","Conditionnel.Present.nous","X-3.[3E]-ERj0~"
"4446","t3R","Conditionnel.Present.nous","X-3.[3y]-Rj0~"
"4447","vulwaR","Conditionnel.Present.nous","X-udRij0~"
"4448","puvwaR","Conditionnel.Present.nous","X-uRj0~"
"4449","pl6vwaR","Conditionnel.Present.nous","X-6.[68y]-vRij0~"
"4450","deSwaR","Conditionnel.Present.nous","X-w.[wy]-aRj0~"
"4451","isiR","Conditionnel.Present.nous","X-iRj0~"
"4452","SwaR","Conditionnel.Present.nous","X-w.[wy]-aRj0~"
"4453","A~kl0R","Conditionnel.Present.nous","X-0.[0o]-Rj0~"
"4454","RA~tR3R","Conditionnel.Present.nous","X-Rj0~"
"4455","SoviR","Conditionnel.Present.nous","X-iRj0~"
"4456","dekl0R","Conditionnel.Present.nous","X-0.[0o]-Rj0~"
"4458","ZeziR","Conditionnel.Present.nous","X-e.[ei]-ziRj0~"
"4459","fRiR","Conditionnel.Present.nous","X-Rj0~"
"4473","aute","Conditionnel.Present.vous","X-ERje"
"4474","Ete","Conditionnel.Present.vous","X-3.[3E]-ERje"
"4475","fwiR","Conditionnel.Present.vous","X-Rje"
"4476","abatR","Conditionnel.Present.vous","X-tRije"
"4477","A~bYe","Conditionnel.Present.vous","X-y.[yY]-Rje"
"4478","Able","Conditionnel.Present.vous","X-ERje"
